username,password,age,annual_income,spending_score
66uaro3i,fP1KAojNfz,29,109,29
5hdovvoc,G4lmXnDCuU,66,36,87
hxlm1tav,JrlL0lFpyo,24,41,74
n4xxqebe,oRxy0OYx9S,67,81,55
3x16r6ri,L5xh06A653,35,122,54
cijf0y25,7yqhmj6ObT,31,15,78
czyq25un,tbnlgk87pZ,18,130,29
oe97ahyc,VTANxCNIwf,49,69,19
vy1913xb,YS3XbVP59V,19,140,41
hcr0eyhc,zh79yGcvcF,43,2,14
23g043hw,zd4ctibA5R,28,43,65
mf9y5i6d,qw1QxD2KQl,30,69,41
j5115h3g,XalVkQAJ41,66,35,94
uuqmc6b7,eLRWAhrWSi,47,6,87
08vi1coy,zmEe4GjsaK,68,100,75
48uzggms,j1Rc9WnrwL,24,142,46
2ijmecp1,kqWtFh9dSp,22,51,85
4p9ovhbp,JxYQdWdg8Q,68,71,81
6lwisgzd,FCK0hluic8,59,36,46
vpz76qbe,PXOxFmAVN6,24,133,86
meqld9el,tD7iOBug80,59,61,58
wllltekp,Pf5Uj9yimu,51,100,35
yhizbxld,Bq72Y5FtPH,57,74,18
u5o4dgyt,i8zzS0Cv97,49,116,22
n2exxj85,3186bn5mJI,67,128,55
be24z0fx,q19zfHkyJw,41,68,32
fu33cl8r,KMU5OicCkB,32,74,9
6ph9lmzo,V0nTFsijub,59,5,6
asuo2amk,Px9iJXr8XV,25,100,15
j94rkcve,XUGxDNmrSJ,52,65,85
z0crc1gn,Y3telP9bOl,47,145,48
froiak9h,FvGw0Z8vhU,50,133,68
5cbf69dl,KkQNnFUhOm,62,49,3
g7wt4c7z,cqeMeTQtgN,52,6,35
knllfvev,qOBsV8Ra7j,40,91,74
crnu4ceh,8125DfgpHs,57,23,25
dbse8fqv,IpC9oySgHw,30,19,53
beqin3h5,k7PZW62GLD,46,138,62
7sbu7pwm,zKZU7E3s1a,35,100,66
xsbvb0ut,j48OGyRHKv,44,134,41
n5dg5uoa,wBFyTqmKDO,43,37,41
xoa78w75,OtIIobIFSq,27,43,47
rgjumls4,LSJzTYjLby,19,114,90
axk4up2j,Jx0VoBhSjf,21,54,85
7f6k6lqj,jJv75LsRzm,35,39,99
vkd6zh57,JNXYMyzgn7,66,144,33
u1if4l6a,WewyGgZbcF,67,94,93
s493gu5o,pMQ6GbqFTv,50,126,32
51xh5hzx,VfUN5GwS7N,58,89,86
vmluukuz,TPZwokCg4H,55,58,33
0w1dy7x3,0YV9fbVnL7,42,118,42
fjk0thtz,WmMEtzlgiC,36,63,85
itb81jk7,5GaGkuH1KH,32,5,62
7fy1zp2o,7WjZlNBXZy,39,110,36
tkcc7dul,1o49mWe1ol,39,72,99
25iyecic,lRH9Nao4LK,33,96,90
qkjo34sx,JMzFRYIUnb,31,25,5
7r9huno2,kOh2tXdhP0,33,146,24
yj4y7q27,USF7YrV3hy,30,24,89
uhu7ggum,51RplOwrEq,20,66,51
bzqem0je,8CSONfMIJD,21,129,99
7jeorppf,KNPIhN7wtX,33,32,21
56yw9nic,GfcXhgByH8,55,47,20
g3jsjdbb,w9hKZKQGuC,28,115,99
gwa2vp9x,wQa2PT6KZp,29,12,16
emysjjw7,5UOq1cZKut,53,34,50
rduhw506,v4DHwgwSqg,46,44,9
oxx6b0nq,Vo41WOb0ZY,34,130,2
zqxzn6of,PsUCldrHAH,54,36,1
wguywasq,DXaLUP4tHw,66,77,43
4ddlehp7,tMej4VVoNi,30,56,17
5qgfz4n1,RUQerMMc4B,43,106,95
ewdtwsv0,vUydMImrNs,42,20,62
u7wq32d8,hItvgj7opZ,43,22,47
zjbyxhpq,RbyL5DctBf,26,27,14
9y518np8,Taz10IvfAi,58,132,93
4wnl3lb6,Xyi8mTYKrd,28,134,53
jgq4behl,fqFHsz2tPK,60,122,37
llz1t434,2uv2OA89h4,44,119,11
057k9y60,FmYb6odVon,35,63,42
vgi8aga6,4V04X0JG5K,52,85,25
6n3l8aci,pxjowYSJtW,28,94,80
2nhxcj0a,8XZW29dQq7,56,72,89
ggu6sx3s,OUbeLsZ0XH,37,112,28
etm8qlp9,0gCFnVmsAj,32,131,18
ah39hgc5,qRPIMGewA8,58,49,31
8oikxwbc,MvG4BU9tAP,53,44,57
vd0ju462,kQKhQ6X3Af,64,12,35
rpot60q8,eJP2DLSA31,37,18,73
sl2akgjq,503WFQ81AW,25,78,70
m076858f,wmzQUQCVw4,49,150,81
emvino21,jsWNGBIsPK,50,92,31
ktxshmah,mrsDvDNYZw,57,33,9
u4x1ofoo,JXX1onT2SW,58,79,86
hm91w4x5,wbhxIIe3US,25,89,36
3innp1zh,jiyPv99zBv,57,131,49
u65giulp,KfTo3ltg7C,64,50,79
cr7yh3pi,MLSao3C0tr,57,115,97
8sf6545t,XTeshPr7C9,67,128,18
6vzizsxw,iToqRFtmks,58,2,43
ipyf55hv,vh7hPeSlw7,61,97,11
4ietmn4j,4s4zSQ6YHG,60,58,77
fcxt5ufw,1I9BwJdNw8,27,133,43
owo7x79e,7PJpRQm2S4,59,62,34
2axlgc1d,G9nl3QC4OO,18,127,51
f5shjt6f,PXV11saMYt,23,119,61
pch9f6km,pwASwrsRoG,42,98,79
nf9rolun,FoVSm96196,34,140,9
8gp8wxe0,DPTaRrxq8W,39,148,57
7whizx6e,qO1xKTSYt0,70,133,8
rr2ltjs9,F9rbHKR87e,25,66,55
tpvt40bh,SEkBnDmNco,44,6,90
fj750mn3,RtDHgmrM67,60,85,84
cn0be1a5,PfFv9PZH72,70,131,63
p0e1fd11,Pd4yQqDhyq,52,41,84
4ksula2p,OxYR9iL187,18,112,56
2xh4f44y,ttSutyb4yq,44,120,4
mtpn2qll,bPrm9BujlS,65,15,60
my5w1uqy,iRpv7dxIJb,32,88,8
8jdyrs8o,iqEn95CMWo,18,66,49
0knnmhbf,P5eRX917iC,67,9,81
jlunblge,uVHiCKfdjn,27,73,39
fbf1zxfy,hDjl5TvrnZ,30,146,81
a6oyp7au,TNUzw3jM3S,35,33,30
gf7t2zem,9ZfK5Ll1GW,33,74,82
2jzq516y,CItBRlnF84,29,10,68
b9kjqxno,F9aFcTMDYt,60,22,9
6clxr7av,tPqo6gGEa2,29,129,74
mq94eoaq,bW7jLva1sZ,26,75,94
dfzs7yt5,8SaRcFiIvE,33,110,40
s3q0ba3g,Lp1VXKWh9n,55,102,7
kmm2qufb,qO8mPAHW9C,35,132,66
0qcyheng,y3uohW0xrQ,40,29,94
p6ino7ox,5oEQJIwrEI,48,35,22
52gjktly,WSTyrBjlXS,65,132,20
ti1bdptu,vJ1bHcI5qG,66,59,75
0ohrj2xj,pDE6bfg5zZ,24,99,97
icyp6smj,CAFW0wQKrb,57,55,66
jxorrsi4,96gzW3v1qk,61,41,83
4s7uw7in,K9c25ZRGHb,20,115,44
uszymmix,vPQhbFlzis,61,93,86
n2dj47gv,YvIZBylFN0,45,63,11
fqy63pk6,ejutbNpKFb,64,12,45
nb6ym02d,TxKKjHsMRd,46,88,62
g88858qe,00fjPPcu5l,36,116,51
0qkpipfa,KGjQD29rPD,34,111,76
912s5eui,QOEhNuxmfi,27,97,42
hswy5ex9,WWEuoMQ9Ho,33,18,54
x22r7e9w,bL0O9JHR7t,27,34,81
r63d3znu,Ke58YqYY9M,35,88,48
jx4hp9ip,PdtJyuhigz,69,37,82
vq8kbe6t,pjbwBjwh0t,64,104,40
g3yo72op,JkEjNhgdLO,60,79,44
a3j53oz5,s2cXuBfLBg,67,128,24
jdhkndw4,bDeFf06VTQ,20,77,19
f76ngjss,psr6vApjI1,64,136,51
vor1a5r3,6P7qphzNAg,60,76,76
u640evpg,eFu8LqiPoA,48,104,87
srgxc16m,chm4pbBH1y,26,108,62
2ioxjw9k,TUw3uHIzEr,52,106,46
lfved78n,A6TTaDpOjO,26,78,76
2curtkip,jvtyqwJkv7,32,94,47
5uqvwwxw,6lPVClAKOC,64,102,17
ad1pgjpy,heKPvkG1Ig,30,117,99
ujukotef,eKBjRq1FhT,22,138,32
szq6dfc2,fFk7bxTCSU,32,9,90
iwx2j6ci,TtUCKpR6a3,51,95,5
cvok3q7u,8rgzm8who1,51,64,82
kh1w679j,5fIMFiZnKW,57,82,87
a2mukpr6,UWGoRVfNbo,63,10,40
g4uf170q,C0UECBrNnV,30,30,48
jxxx7w8f,zwI5Z6cGzs,39,141,43
7harn1ga,i7ghY1lRkH,37,15,95
f0t3pkrl,YiGypvTK7w,30,80,44
d9ket3ye,EnyaRbWgEt,59,20,11
xcpcbi01,byag9rQMQy,26,36,30
d4w5bsvh,Ky9E9DwFUm,40,1,13
4i4z9nc0,7ykbako9Nt,28,12,11
avt1qbg0,0Bn8EgDHUc,42,109,48
5f5x7cfd,Kcg4NMzasT,32,135,82
958dbsbn,CphOKBChGS,65,100,16
35i97yjj,xIjuvXonRu,69,144,42
p61316r4,auADLOalLz,20,10,40
wf4waf18,fJZ3vlTAkz,63,37,38
lgrd7i8m,id10YnMMRg,45,79,48
m2n80ktq,b3hF5sJfrm,34,96,99
d6ldqyep,hujaH0rMda,45,90,74
j2qkki2b,NqyHNj8SNH,57,24,1
bes1xgs5,TRB6PntnGH,68,8,61
egpqvgy3,lqlF7bzwgX,34,110,95
89i8ng6t,RRMpfLcVGc,46,68,50
3f0rei0r,8n9H2QegsQ,28,105,81
sf3w1lat,cPRAmEANw7,18,133,88
nx7hk2vf,AaLTZky9pz,18,37,39
0lwsocgn,8GpkJ9m7RT,60,4,39
ufn2f45q,lBQrsD4Bce,60,3,63
k67qt1kf,wRPXc0ZN2f,50,48,24
qfxsxopz,iH9xEmG7Kx,45,9,8
6ydg9gvr,uo5DTVZF1V,28,26,26
eopcwyub,y0TMJeDK5i,65,40,74
iel1uajz,7tASblIavS,62,47,56
51rf1r8i,HPecQ1eoZe,47,44,71
llmjhnuj,cPUWAm6N6H,56,25,67
ib2fwo72,QQuSeCeMww,67,76,54
koa6j1yv,H5KHjj7FR5,20,59,5
rui63bhr,jlvOlcz3yC,25,96,91
zezijcs9,2jEgD1fQy2,70,31,61
enljhtu2,O4lfgV8ivO,31,126,31
o9oflqyx,gllT1mAKcl,50,35,82
izlylj4x,tGP70Besm7,52,112,54
2d6kia9z,hoxmMudx3s,67,96,35
z0twk88v,1sQsUm8xUm,68,141,98
jhpvyg2b,yz6RxLC774,70,90,26
ojizwk69,pGzEvSy5ez,57,14,26
767jo1nm,DsyJUKpcpj,27,36,8
j8f51zqa,zXD5NTNvAs,62,82,48
n0flxucm,ITP5wRt6eu,43,15,92
0yiob113,tHWT6twhkN,41,97,6
odvajmf9,F55xV3NQ7B,29,37,98
2y4n0e1y,0Vn7BMZQT0,19,136,47
wnqt77ii,9toLYR9d7x,44,140,51
vh79rk4b,0VcAKVxwOO,46,117,100
lfkd5y6e,pXUHeWUZpg,45,102,40
zzbfnelz,bJcq6bQkEq,48,77,75
7zehlfyt,YqbipKm8UQ,48,45,76
zr7lriyo,MRVwCoUOsG,46,63,23
p5ei3tfd,hsHSitbEVI,23,61,23
wdc3jkhn,zGEyBaEwNC,64,139,27
y0qhap00,lfluYsySDO,70,149,8
rlhb4cy9,tD4wakxHOX,40,115,71
07e4x939,9hcyKh1NHj,54,106,84
m55y9vnl,OMefatrSyy,31,12,27
1lg5vi1s,UUh9XL3RPD,53,49,97
2k44kr20,bcUnZibzDV,26,135,11
rts8bn84,fK46tDRn9I,22,8,96
a7shn81d,t5tiZnTdfD,61,117,66
icdlo68d,NGp4XNceLq,55,62,19
hcx7sp6v,saY2VYbYg2,49,66,15
t71ezypj,7vnrWbE70U,21,1,91
67ozxhh3,mxdDfHHrCe,53,19,90
ix7oq7i5,kDk6Gmq8Uz,30,26,81
8k7s47fe,I2Ws1nhO8r,65,116,81
6und5g07,D4O6r9TvrE,56,94,28
vkqcglmr,j3qWEpnQWf,25,24,90
6om1620b,iNn1jZrIPv,46,13,49
erxpqr0m,HgFHBt78jF,23,47,58
wz5jiuu6,QRhG8GdXNq,18,6,55
fajp4bxy,MCUaQEQz8H,42,46,64
51dr20wa,GhILapSLSl,43,59,56
nvw6xjhi,k1mF1ng43c,58,89,84
f8rdeaja,Ggx5CpnGG7,38,11,85
9favjy4b,kacoBiCLmB,67,85,73
a6tu7k4k,W53LxGo5WD,55,47,6
sfvznk6q,vGvbI8bccf,52,3,80
1gghvaki,wnobh8Fifr,42,126,52
4r96kiz1,cXf4AmCU4S,63,80,87
qav4rh56,HF0W8VFpQi,43,54,18
m6vvazr2,rLiHLZsVx9,41,118,66
c0v14knq,TdwrV1tKdx,24,132,23
yii9um00,NiVkME06yk,21,13,49
1yo0aj89,HfFlMrR3iU,22,121,11
3lemgyj4,TWIjr38f6c,29,5,71
xgeyqvbi,YJWIADCzVN,58,107,17
5exs366f,SsB7ii3wUb,25,130,6
mo7qlmyy,PwdAl3iWYW,61,98,66
p80gn5jj,e1MDmFW3yZ,31,113,1
